"","NTA","BORO","YEAR","NTACODE","POPN_2018","GENTRI_SCORE_NTA","WHITE_CHANGE_NTA","FOREIGN_CHANGE_NTA","NO_HS_CHANGE_NTA","FEL_PAX_CHANGE_NTA"
"32","Kensington-Ocean Parkway","Brooklyn",2018,"BK41",35510,-2.01209610654184,-1.00798465379736,-5.25054498023675,-0.222241314408601,-6.74003923082662e-05
"33","Madison","Brooklyn",2018,"BK44",40958,-1.17655418354406,-8.28813370014457,3.17628333955121,-1.58218780996119,-4.33526026479849e-05
"34","Midwood","Brooklyn",2018,"BK43",54637,-1.32781454251961,-4.20579469413797,0.0318537357210977,-0.19049733085804,-0.000168261393152724
"35","North Side-South Side","Brooklyn",2018,"BK73",57036,1.08472032053859,-0.624825133515647,-0.74408377043881,-4.62306986557023,-0.00065235156101944
"36","Ocean Hill","Brooklyn",2018,"BK79",35818,2.74897683741123,4.56664998863769,2.94884388600391,-0.731436637592101,-0.00109372017774979
"37","Ocean Parkway South","Brooklyn",2018,"BK46",20684,-0.736368335402638,-1.24673448908939,-2.21628930382574,-1.25391878670721,0.000137744205473944
"38","park-cemetery-etc-Brooklyn","Brooklyn",2018,"BK99",432,7.92378352484344,-11.7520293091889,17.3005085434023,-18.2228713403169,0.0645924826755132
"39","Park Slope-Gowanus","Brooklyn",2018,"BK37",74731,1.67101452744732,2.58038487899335,-0.640916879150823,-3.07357558249943,-2.23419128807264e-05
"40","Prospect Heights","Brooklyn",2018,"BK64",21237,1.51327076370244,5.37530866716192,-1.56789368378811,-0.732397307733497,-9.80373716910638e-05
"41","Prospect Lefferts Gardens-Wingate","Brooklyn",2018,"BK60",69111,2.03647088054496,7.29639667200813,-5.57125219414673,-4.38426816377349,5.55743358692121e-05
"42","Rugby-Remsen Village","Brooklyn",2018,"BK96",54666,1.02603111055462,0.881831331473503,0.650484479310429,-1.54577752087992,0.000109244340425315
"43","Seagate-Coney Island","Brooklyn",2018,"BK21",32259,0.139779455065607,-2.09012572382725,1.52247901788163,-0.986985071142439,-3.76369842802001e-05
"44","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Brooklyn",2018,"BK17",65631,-0.592359709030839,-6.91671473614574,4.85848126054224,-0.281154348510977,-4.19041199592928e-05
"45","Starrett City","Brooklyn",2018,"BK93",12956,-3.73256219197135,-7.01904774965634,-0.689640716217717,3.48899811004001,-3.27108481172389e-05
"46","Stuyvesant Heights","Brooklyn",2018,"BK35",69260,4.89275659799959,9.71348897220525,0.520288167599985,-4.44449265419354,-0.000244509700506416
"47","Sunset Park East","Brooklyn",2018,"BK34",66348,-1.65781588550993,0.304603203980561,-2.56122003841227,2.71683082209807,0.000593904221310215
"48","Sunset Park West","Brooklyn",2018,"BK32",54667,0.31516092305618,1.21418798470292,-0.884258179461643,-0.615552963927263,2.94835022722168e-05
"49","West Brighton","Brooklyn",2018,"BK23",16774,2.31691513208185,-3.10322560471092,6.92740875514212,-3.12656224581435,-0.000313248231977445
"50","Williamsburg","Brooklyn",2018,"BK72",34373,0.267408490645102,-0.0869183383748211,-0.148337135853729,-1.03748094616386,-4.1131319960805e-05
